Image_name,Emotion
52912.png,angry
19524.png,surprise
45866.png,disgust
5482.png,neutral
89182.png,fear
23408.png,happy
14606.png,disregard
74305.png,happy
60193.png,fear
61924.png,disgust
49842.png,sorrow
66024.png,fear
57688.png,happy
54316.png,disgust
30402.png,happy
98872.png,angry
21435.png,surprise
16109.png,surprise
77678.png,fear
25671.png,surprise
14695.png,surprise
93414.png,fear
34531.png,disgust
97975.png,disregard
8669.png,happy
10970.png,surprise
29580.png,happy
22370.png,disgust
26230.png,disgust
2781.png,disregard
14547.png,disregard
21168.png,surprise
48246.png,disregard
59755.png,neutral
24728.png,neutral
46031.png,disgust
87713.png,angry
3040.png,happy
95429.png,disgust
10973.png,angry
76451.png,angry
35929.png,neutral
93047.png,surprise
90492.png,fear
13728.png,neutral
98552.png,surprise
17358.png,surprise
28049.png,sorrow
49518.png,disregard
60618.png,happy
78698.png,neutral
97581.png,happy
34050.png,sorrow
17828.png,surprise
64622.png,surprise
54387.png,disgust
81685.png,angry
28817.png,sorrow
59215.png,disregard
98321.png,surprise
17901.png,fear
90723.png,disgust
28918.png,fear
15355.png,happy
54817.png,happy
5349.png,neutral
25761.png,surprise
92008.png,fear
51852.png,disgust
6436.png,angry
83705.png,angry
77292.png,angry
66877.png,surprise
75954.png,happy
83066.png,angry
16770.png,neutral
3858.png,disregard
54779.png,neutral
56601.png,disregard
88801.png,fear
16761.png,surprise
5057.png,disregard
39119.png,happy
84698.png,neutral
4924.png,disgust
76398.png,happy
80762.png,surprise
47488.png,neutral
58633.png,disgust
25163.png,disgust
23955.png,angry
71375.png,sorrow
5147.png,fear
29156.png,disgust
47527.png,disgust
80346.png,happy
15902.png,happy
9103.png,disgust
748.png,fear
56299.png,neutral
46503.png,angry
5104.png,surprise
49512.png,fear
69830.png,surprise
35337.png,surprise
29731.png,surprise
18489.png,disgust
6999.png,surprise
37010.png,happy
74193.png,neutral
63941.png,disgust
391.png,happy
74109.png,happy
58230.png,happy
13379.png,disregard
37223.png,disgust
1180.png,fear
14090.png,disregard
75686.png,neutral
32231.png,neutral
38208.png,happy
62908.png,neutral
99632.png,disgust
8182.png,disregard
71433.png,fear
24665.png,happy
97960.png,fear
44602.png,happy
77025.png,neutral
16503.png,disregard
98446.png,angry
2019.png,happy
40114.png,angry
18096.png,sorrow
47032.png,surprise
76818.png,neutral
72319.png,surprise
35439.png,sorrow
201.png,fear
36448.png,neutral
45372.png,surprise
31888.png,angry
29824.png,neutral
91466.png,angry
58752.png,disregard
72016.png,angry
27853.png,happy
69157.png,sorrow
17553.png,disregard
37998.png,happy
87308.png,angry
31891.png,disgust
66048.png,sorrow
99411.png,disgust
77427.png,fear
5560.png,angry
28332.png,neutral
60631.png,disregard
80909.png,surprise
71911.png,neutral
83190.png,surprise
13063.png,fear
69059.png,happy
14867.png,disregard
36207.png,happy
64358.png,disgust
1867.png,sorrow
7367.png,happy
64708.png,surprise
94654.png,sorrow
79746.png,fear
79726.png,disgust
85583.png,happy
70176.png,disregard
46751.png,neutral
32499.png,happy
37784.png,fear
895.png,neutral
21495.png,neutral
50936.png,neutral
69125.png,surprise
63178.png,surprise
41226.png,angry
22594.png,disregard
58913.png,disgust
15593.png,fear
78044.png,disregard
29787.png,happy
2596.png,happy
33552.png,happy
82105.png,fear
79813.png,disregard
45334.png,fear
47127.png,neutral
43765.png,surprise
11012.png,fear
42855.png,disgust
16444.png,neutral
36551.png,disgust
71745.png,fear
5377.png,angry
62578.png,disgust
95718.png,sorrow
68976.png,surprise
69364.png,sorrow
18364.png,neutral
26575.png,neutral
30568.png,angry
30086.png,sorrow
3008.png,fear
93232.png,surprise
80740.png,neutral
20814.png,disregard
83518.png,happy
78296.png,surprise
43240.png,angry
72932.png,disgust
56343.png,disregard
41117.png,surprise
84402.png,neutral
25941.png,disregard
90868.png,disgust
67722.png,disgust
92278.png,surprise
92308.png,disgust
17914.png,neutral
78747.png,disgust
59553.png,sorrow
39221.png,sorrow
45480.png,sorrow
86854.png,surprise
13510.png,happy
64385.png,happy
39241.png,disregard
50194.png,surprise
33460.png,happy
59471.png,angry
91801.png,disregard
68929.png,disregard
58399.png,disregard
16448.png,surprise
90617.png,fear
54617.png,disgust
29413.png,fear
70160.png,disgust
69417.png,fear
27216.png,disregard
37435.png,angry
24047.png,surprise
68161.png,surprise
52352.png,angry
33867.png,sorrow
99259.png,neutral
32060.png,angry
35002.png,sorrow
97714.png,angry
77327.png,neutral
26031.png,surprise
98391.png,sorrow
89410.png,disgust
10096.png,neutral
69983.png,disgust
9382.png,fear
37009.png,disregard
81921.png,happy
18471.png,happy
22716.png,sorrow
19246.png,disregard
72518.png,disgust
34988.png,fear
56219.png,sorrow
47835.png,surprise
55026.png,angry
74101.png,happy
77209.png,angry
53977.png,happy
20963.png,surprise
5721.png,disgust
31172.png,disregard
43537.png,disgust
74124.png,surprise
4901.png,happy
10070.png,disgust
79987.png,surprise
48963.png,neutral
62370.png,fear
6027.png,fear
22458.png,disregard
54968.png,surprise
5982.png,surprise
37266.png,surprise
53097.png,disregard
75631.png,fear
18652.png,disgust
65967.png,disgust
23081.png,surprise
76105.png,neutral
60731.png,sorrow
35246.png,angry
36669.png,disgust
52801.png,happy
29494.png,disregard
68655.png,neutral
88922.png,fear
61716.png,disgust
49943.png,neutral
39513.png,happy
48529.png,neutral
58509.png,disgust
76597.png,neutral
71399.png,sorrow
26648.png,happy
82203.png,surprise
59370.png,angry
25407.png,angry
48208.png,neutral
36751.png,fear
68086.png,disregard
12625.png,sorrow
71019.png,neutral
12638.png,disgust
2554.png,sorrow
37275.png,happy
86967.png,fear
18993.png,disgust
50539.png,neutral
97503.png,angry
62538.png,neutral
28503.png,fear
13987.png,happy
44953.png,happy
23127.png,neutral
51683.png,happy
4659.png,angry
67685.png,happy
43519.png,disregard
52386.png,fear
9594.png,disgust
78178.png,neutral
32211.png,neutral
35666.png,fear
95924.png,disregard
76190.png,angry
63948.png,sorrow
15274.png,neutral
50849.png,angry
85233.png,surprise
23147.png,sorrow
60789.png,fear
68071.png,neutral
50556.png,disregard
42513.png,neutral
21286.png,disregard
44346.png,sorrow
67845.png,neutral
27524.png,neutral
85023.png,disregard
51510.png,sorrow
65612.png,happy
90104.png,disregard
82353.png,fear
89500.png,disgust
35200.png,disregard
34355.png,surprise
56390.png,sorrow
37143.png,angry
4908.png,disregard
71417.png,neutral
19778.png,surprise
22871.png,angry
19316.png,disregard
92745.png,surprise
14828.png,neutral
92201.png,fear
78927.png,disregard
98989.png,disregard
35875.png,fear
98601.png,neutral
95104.png,neutral
37912.png,fear
40667.png,surprise
16507.png,sorrow
13719.png,neutral
55169.png,sorrow
28061.png,happy
65189.png,surprise
45524.png,disregard
52878.png,sorrow
47374.png,disregard
92562.png,happy
67981.png,surprise
15892.png,angry
86481.png,surprise
80708.png,surprise
81679.png,sorrow
26845.png,disgust
73294.png,disgust
39357.png,neutral
90059.png,sorrow
22068.png,surprise
95644.png,angry
68928.png,neutral
88014.png,surprise
69798.png,happy
27437.png,neutral
29917.png,disgust
50802.png,neutral
36938.png,disgust
87703.png,happy
25656.png,fear
78664.png,happy
24095.png,disgust
84315.png,neutral
3477.png,angry
75786.png,fear
63971.png,disgust
62055.png,happy
24457.png,happy
15239.png,surprise
56607.png,fear
47447.png,happy
59327.png,fear
10499.png,disregard
28128.png,happy
73546.png,surprise
74145.png,fear
92873.png,fear
30285.png,surprise
28500.png,happy
31605.png,surprise
30869.png,sorrow
77994.png,disgust
9977.png,disregard
10965.png,disregard
20972.png,fear
1934.png,disregard
89471.png,disgust
30090.png,disregard
30851.png,surprise
55858.png,disregard
42742.png,angry
55717.png,surprise
54765.png,happy
92297.png,sorrow
49937.png,disgust
72069.png,disregard
93724.png,surprise
93003.png,disgust
55538.png,happy
91530.png,neutral
39009.png,surprise
10714.png,angry
7373.png,fear
97313.png,happy
12352.png,fear
10704.png,neutral
34906.png,neutral
91820.png,surprise
94254.png,angry
40415.png,fear
44012.png,disregard
65129.png,disregard
66935.png,disregard
21263.png,fear
20623.png,angry
74364.png,neutral
4795.png,disregard
26464.png,happy
31020.png,disgust
12421.png,disregard
48080.png,angry
76934.png,sorrow
35171.png,happy
26413.png,surprise
52412.png,angry
55653.png,disgust
9726.png,sorrow
19359.png,happy
76613.png,angry
30642.png,disregard
48200.png,happy
37378.png,angry
18389.png,neutral
57234.png,sorrow
37542.png,surprise
52228.png,sorrow
13092.png,happy
92912.png,angry
55333.png,disregard
65110.png,neutral
79120.png,angry
69615.png,neutral
99330.png,disgust
12033.png,happy
25394.png,fear
64339.png,happy
26227.png,disregard
24768.png,angry
25499.png,angry
56296.png,angry
73016.png,disregard
38204.png,sorrow
2434.png,angry
87953.png,fear
31700.png,neutral
81445.png,disregard
38305.png,disgust
5673.png,disregard
21904.png,happy
57645.png,disgust
19724.png,surprise
93332.png,sorrow
48922.png,happy
1216.png,angry
38837.png,angry
15024.png,neutral
38489.png,sorrow
95316.png,neutral
32942.png,surprise
66891.png,surprise
38792.png,sorrow
96047.png,happy
98181.png,sorrow
29624.png,surprise
7838.png,sorrow
27463.png,angry
87376.png,disgust
86173.png,angry
60619.png,neutral
14542.png,angry
82222.png,fear
36836.png,surprise
66543.png,happy
87507.png,neutral
49060.png,happy
4069.png,disgust
77060.png,happy
47670.png,angry
33833.png,angry
37358.png,surprise
62390.png,disgust
5658.png,fear
6242.png,disgust
67105.png,surprise
32645.png,neutral
84358.png,fear
3809.png,surprise
16217.png,happy
7597.png,neutral
48838.png,fear
41268.png,happy
44441.png,neutral
10616.png,surprise
97769.png,angry
2631.png,disgust
58510.png,disgust
71760.png,fear
98896.png,angry
47524.png,disregard
26402.png,neutral
56699.png,happy
37192.png,disregard
59457.png,disgust
76930.png,surprise
51900.png,happy
61127.png,fear
58693.png,happy
60286.png,disregard
72102.png,disgust
90388.png,surprise
93459.png,fear
94903.png,angry
40493.png,fear
51647.png,disregard
19127.png,disgust
98140.png,surprise
66827.png,disregard
94001.png,happy
55109.png,sorrow
84428.png,sorrow
1963.png,fear
36484.png,surprise
17466.png,happy
40159.png,sorrow
76993.png,neutral
60677.png,disgust
99954.png,disregard
99610.png,happy
18426.png,angry
18305.png,neutral
60225.png,disregard
20667.png,happy
58745.png,disgust
50111.png,fear
62968.png,disgust
67619.png,happy
51773.png,sorrow
14451.png,fear
87563.png,surprise
40595.png,disgust
60945.png,disregard
84300.png,disgust
65566.png,neutral
47967.png,disgust
36492.png,neutral
28186.png,fear
71517.png,disregard
33739.png,fear
85595.png,neutral
46230.png,angry
51784.png,disregard
2927.png,happy
27975.png,surprise
20251.png,disgust
7453.png,surprise
7588.png,disregard
95800.png,disregard
77789.png,surprise
67871.png,disregard
97941.png,neutral
34260.png,happy
39443.png,surprise
34261.png,neutral
70490.png,happy
62169.png,sorrow
56081.png,sorrow
31232.png,angry
50211.png,disregard
79692.png,angry
34768.png,disregard
37672.png,disgust
95527.png,angry
3435.png,sorrow
17405.png,sorrow
80424.png,happy
28148.png,fear
71304.png,happy
80764.png,disregard
49455.png,happy
63186.png,angry
12864.png,sorrow
68936.png,angry
51606.png,surprise
53474.png,disregard
63622.png,happy
4470.png,disregard
85441.png,disregard
78539.png,happy
58758.png,surprise
79407.png,disgust
55355.png,neutral
45360.png,angry
25550.png,disgust
20192.png,neutral
11113.png,angry
32767.png,neutral
93307.png,disgust
92716.png,neutral
57123.png,surprise
52331.png,neutral
34774.png,sorrow
25938.png,disregard
46932.png,disregard
83839.png,neutral
71004.png,happy
3262.png,neutral
97086.png,happy
39243.png,surprise
70698.png,surprise
76951.png,disregard
40294.png,fear
32760.png,disgust
87100.png,neutral
21014.png,neutral
63275.png,happy
78562.png,sorrow
46216.png,surprise
45469.png,fear
18199.png,sorrow
57389.png,disgust
52665.png,surprise
7463.png,disregard
62866.png,disgust
43099.png,angry
29289.png,happy
6470.png,angry
21321.png,happy
94553.png,disgust
66527.png,happy
50545.png,disgust
9753.png,disregard
22534.png,surprise
22508.png,angry
54020.png,neutral
12065.png,happy
39430.png,disgust
53927.png,happy
25632.png,surprise
33759.png,neutral
87144.png,disregard
98873.png,angry
77004.png,surprise
68035.png,disgust
59517.png,sorrow
9143.png,sorrow
46325.png,angry
64090.png,neutral
35713.png,disgust
63124.png,sorrow
60420.png,disgust
11841.png,neutral
31716.png,surprise
57792.png,disregard
42920.png,neutral
35134.png,disregard
79356.png,disgust
87529.png,sorrow
50853.png,surprise
11571.png,fear
64347.png,neutral
68860.png,neutral
31284.png,disregard
57975.png,neutral
57349.png,disgust
59671.png,disregard
49349.png,disgust
27688.png,neutral
87199.png,disgust
4287.png,sorrow
45310.png,fear
36351.png,surprise
52796.png,neutral
83766.png,fear
35354.png,disregard
27783.png,sorrow
66901.png,disregard
12090.png,disregard
98261.png,disgust
63641.png,neutral
69606.png,surprise
83370.png,fear
84202.png,neutral
93826.png,neutral
52261.png,surprise
10081.png,surprise
98301.png,disgust
42490.png,fear
67529.png,fear
30906.png,happy
13367.png,fear
97047.png,disregard
68013.png,sorrow
54205.png,angry
23259.png,happy
97276.png,disregard
50301.png,disgust
73167.png,fear
5641.png,happy
39660.png,fear
22771.png,happy
56995.png,disgust
24957.png,surprise
14820.png,sorrow
72251.png,fear
75229.png,disregard
10416.png,sorrow
38995.png,happy
95609.png,fear
25792.png,disregard
12729.png,angry
27199.png,angry
38044.png,fear
14743.png,happy
80731.png,disgust
59389.png,disregard
85546.png,surprise
73503.png,fear
72606.png,surprise
2451.png,angry
90842.png,fear
13837.png,sorrow
42079.png,disgust
67011.png,neutral
81606.png,fear
91883.png,neutral
12682.png,disgust
35941.png,neutral
83148.png,sorrow
87485.png,sorrow
46904.png,disregard
90584.png,disregard
14134.png,angry
18588.png,surprise
81742.png,happy
17610.png,fear
22108.png,sorrow
499.png,fear
25445.png,happy
51356.png,neutral
99581.png,disregard
21275.png,happy
38804.png,happy
4094.png,surprise
25096.png,neutral
4778.png,disregard
58671.png,sorrow
93263.png,neutral
9284.png,angry
56207.png,disgust
56448.png,angry
83810.png,fear
35603.png,disgust
95307.png,disgust
74506.png,disgust
34932.png,happy
82558.png,happy
26436.png,angry
70089.png,sorrow
87420.png,sorrow
91713.png,happy
32944.png,angry
75719.png,disregard
7974.png,angry
47577.png,angry
30312.png,fear
36296.png,happy
65481.png,disgust
3413.png,sorrow
36432.png,sorrow
87859.png,happy
56763.png,happy
18882.png,surprise
55875.png,disregard
29779.png,angry
64951.png,fear
15415.png,fear
32580.png,disregard
16157.png,fear
89036.png,fear
97663.png,fear
85518.png,sorrow
38195.png,neutral
76797.png,angry
92016.png,neutral
82470.png,angry
86259.png,disregard
49798.png,surprise
6666.png,sorrow
73414.png,sorrow
2308.png,happy
93752.png,surprise
1387.png,fear
36147.png,angry
30157.png,angry
20953.png,sorrow
59407.png,happy
17444.png,neutral
64410.png,happy
16426.png,happy
58306.png,fear
2732.png,angry
31685.png,disgust
39744.png,fear
3444.png,surprise
93844.png,disregard
6064.png,happy
28345.png,sorrow
76941.png,happy
77348.png,happy
72081.png,neutral
3696.png,disgust
15442.png,sorrow
62952.png,neutral
13278.png,happy
23132.png,surprise
58888.png,fear
2333.png,sorrow
2994.png,sorrow
6481.png,disregard
20840.png,surprise
62601.png,fear
83459.png,disregard
42959.png,fear
80507.png,disregard
83126.png,disgust
43113.png,sorrow
98.png,fear
79687.png,disregard
49119.png,disregard
96822.png,surprise
2740.png,disregard
26769.png,sorrow
7200.png,sorrow
22783.png,fear
49639.png,fear
97194.png,neutral
37650.png,sorrow
4608.png,fear
35309.png,surprise
26863.png,neutral
47645.png,disgust
97454.png,angry
34093.png,fear
22858.png,happy
30176.png,neutral
37165.png,disgust
89303.png,angry
3145.png,fear
35594.png,sorrow
9681.png,disregard
64110.png,sorrow
83351.png,sorrow
68128.png,neutral
41100.png,sorrow
9027.png,disgust
5297.png,angry
55058.png,fear
99789.png,angry
33206.png,surprise
36366.png,surprise
54967.png,angry
1587.png,sorrow
5887.png,neutral
71903.png,sorrow
53064.png,disregard
13845.png,fear
60293.png,fear
69460.png,happy
79709.png,sorrow
9520.png,disgust
23911.png,disregard
77499.png,sorrow
63468.png,disgust
53013.png,happy
19740.png,disregard
49179.png,disregard
6520.png,surprise
72475.png,fear
68005.png,disregard
13097.png,neutral
89108.png,angry
85444.png,surprise
99317.png,happy
84736.png,sorrow
62596.png,angry
88202.png,fear
27566.png,neutral
41946.png,disgust
19587.png,disgust
93189.png,disgust
89338.png,neutral
46113.png,sorrow
49342.png,disgust
92718.png,disregard
51182.png,surprise
78305.png,angry
64330.png,surprise
62112.png,happy
29057.png,disgust
29596.png,happy
50000.png,fear
74084.png,neutral
57333.png,disregard
57924.png,disgust
62554.png,happy
28506.png,disregard
18222.png,sorrow
15118.png,neutral
38513.png,happy
12906.png,sorrow
37898.png,neutral
23049.png,sorrow
63861.png,surprise
60540.png,fear
87332.png,disgust
34880.png,sorrow
36562.png,happy
19517.png,surprise
95288.png,sorrow
89785.png,sorrow
33572.png,disregard
57973.png,disgust
20415.png,surprise
16436.png,sorrow
26711.png,disgust
22586.png,surprise
18727.png,disgust
35979.png,neutral
7756.png,angry
73130.png,surprise
45405.png,disgust
60143.png,happy
88769.png,fear
79051.png,happy
86927.png,surprise
83553.png,sorrow
18186.png,happy
11782.png,surprise
99798.png,sorrow
72901.png,fear
34682.png,sorrow
98249.png,surprise
90272.png,surprise
13833.png,sorrow
42747.png,disregard
57238.png,happy
70617.png,fear
81134.png,disgust
9716.png,disregard
9130.png,fear
85799.png,sorrow
54814.png,angry
437.png,angry
75485.png,fear
76681.png,surprise
29548.png,happy
58442.png,disregard
12833.png,sorrow
40909.png,neutral
62182.png,fear
32084.png,fear
47330.png,sorrow
38319.png,disgust
99254.png,neutral
48099.png,disgust
37386.png,happy
9704.png,angry
57079.png,angry
83976.png,disgust
69060.png,neutral
5802.png,disregard
90760.png,sorrow
78179.png,happy
86487.png,disregard
28455.png,fear
5767.png,surprise
49391.png,angry
57167.png,disgust
91350.png,angry
10324.png,happy
4651.png,fear
23618.png,disgust
24862.png,fear
11930.png,angry
26250.png,fear
28637.png,neutral
11167.png,fear
12427.png,happy
20204.png,disgust
88351.png,surprise
12013.png,neutral
59717.png,disregard
97800.png,fear
56171.png,disregard
12674.png,neutral
47598.png,surprise
96797.png,disregard
92467.png,sorrow
27731.png,angry
11657.png,fear
79105.png,fear
26071.png,disgust
70837.png,sorrow
51655.png,neutral
443.png,angry
72233.png,disregard
3738.png,disgust
50342.png,surprise
82874.png,angry
77723.png,disregard
94526.png,surprise
33367.png,neutral
62048.png,sorrow
42179.png,surprise
25741.png,sorrow
53778.png,disregard
39320.png,disgust
20190.png,neutral
94516.png,fear
90247.png,happy
86841.png,angry
36201.png,sorrow
70991.png,disregard
59605.png,fear
13413.png,happy
76247.png,happy
39384.png,happy
11747.png,disregard
14181.png,fear
36667.png,disregard
47273.png,disgust
59601.png,angry
35677.png,fear
86270.png,disgust
94039.png,fear
11278.png,fear
58022.png,fear
33019.png,fear
28663.png,angry
64115.png,disregard
72121.png,neutral
64142.png,neutral
57093.png,disregard
60843.png,sorrow
71845.png,happy
24689.png,surprise
70546.png,angry
83743.png,neutral
72412.png,sorrow
17375.png,surprise
30583.png,disregard
29177.png,neutral
88809.png,sorrow
73633.png,surprise
69657.png,happy
21085.png,disregard
1713.png,sorrow
26583.png,disregard
43970.png,surprise
65717.png,disregard
29662.png,fear
73042.png,sorrow
87387.png,fear
19917.png,angry
65845.png,neutral
4836.png,angry
33241.png,happy
80912.png,disregard
28003.png,angry
93084.png,happy
68327.png,angry
18799.png,surprise
44698.png,neutral
32568.png,disregard
15868.png,angry
36408.png,neutral
11276.png,disregard
72720.png,sorrow
73129.png,surprise
76024.png,surprise
61760.png,neutral
46131.png,neutral
7861.png,angry
73549.png,disregard
57568.png,fear
63221.png,angry
188.png,happy
61074.png,angry
42918.png,angry
47416.png,sorrow
55198.png,sorrow
45011.png,fear
10523.png,fear
50017.png,fear
12902.png,angry
36383.png,disgust
58222.png,neutral
54426.png,fear
13237.png,neutral
60844.png,sorrow
40877.png,sorrow
44042.png,neutral
62070.png,disgust
53999.png,neutral
41038.png,angry
5162.png,sorrow
39027.png,disregard
73187.png,neutral
27715.png,neutral
11242.png,happy
29388.png,disregard
55752.png,angry
46367.png,disregard
22238.png,disregard
1313.png,disregard
18630.png,neutral
1518.png,disgust
63230.png,disgust
62000.png,disgust
7985.png,disregard
37575.png,sorrow
60322.png,fear
86227.png,neutral
4511.png,disgust
93539.png,surprise
87758.png,disregard
69620.png,disgust
50102.png,angry
99046.png,sorrow
31759.png,disgust
406.png,fear
56036.png,angry
96074.png,happy
36914.png,sorrow
57156.png,surprise
12941.png,sorrow
65427.png,disregard
53508.png,happy
10527.png,disregard
46785.png,happy
80489.png,fear
70232.png,angry
53623.png,happy
87923.png,surprise
54710.png,sorrow
81866.png,surprise
80173.png,surprise
36208.png,fear
25999.png,surprise
67512.png,disgust
4952.png,neutral
12753.png,neutral
88382.png,fear
78484.png,surprise
38799.png,fear
3960.png,sorrow
92424.png,sorrow
88657.png,happy
66491.png,surprise
59089.png,disgust
97861.png,happy
96291.png,happy
29657.png,happy
60442.png,happy
87429.png,neutral
78204.png,angry
12124.png,happy
97979.png,neutral
69425.png,fear
31656.png,happy
11583.png,fear
32718.png,disgust
64822.png,happy
12061.png,neutral
41796.png,fear
90795.png,neutral
98787.png,surprise
51603.png,neutral
10641.png,neutral
99093.png,disregard
7321.png,sorrow
98101.png,surprise
88089.png,surprise
65539.png,neutral
20919.png,surprise
38264.png,angry
86003.png,angry
28276.png,happy
35973.png,sorrow
12808.png,disregard
3482.png,disgust
92861.png,surprise
19997.png,disregard
69265.png,neutral
2675.png,angry
42629.png,neutral
91141.png,happy
89826.png,surprise
6673.png,fear
86938.png,neutral
88475.png,sorrow
75672.png,fear
28697.png,sorrow
94214.png,disgust
34028.png,fear
13871.png,fear
85429.png,angry
27843.png,surprise
88563.png,happy
87055.png,fear
70202.png,fear
61571.png,disgust
20811.png,angry
94168.png,sorrow
56591.png,surprise
73755.png,happy
78132.png,sorrow
45319.png,sorrow
25867.png,disregard
37534.png,angry
94727.png,sorrow
12667.png,fear
30961.png,angry
23972.png,angry
39344.png,surprise
73797.png,disgust
21747.png,sorrow
67481.png,disregard
31514.png,surprise
28242.png,disregard
27430.png,disgust
70243.png,happy
3784.png,neutral
83426.png,fear
64686.png,surprise
35235.png,disregard
92317.png,disgust
12441.png,disgust
36811.png,angry
92999.png,neutral
83942.png,happy
69902.png,disgust
40481.png,angry
70136.png,disregard
47188.png,angry
88226.png,sorrow
70893.png,fear
21167.png,angry
28987.png,angry
60034.png,fear
51958.png,happy
51224.png,angry
26268.png,sorrow
6320.png,sorrow
86812.png,surprise
88633.png,neutral
11948.png,neutral
86831.png,surprise
98823.png,disregard
83010.png,angry
71844.png,happy
22731.png,angry
17912.png,disgust
70950.png,angry
46105.png,sorrow
66077.png,disregard
46922.png,happy
11563.png,neutral
88078.png,neutral
23015.png,disregard
69300.png,disgust
50732.png,surprise
33946.png,disregard
38265.png,disgust
56904.png,happy
36971.png,surprise
2822.png,disregard
21879.png,neutral
94768.png,disregard
81823.png,sorrow
47090.png,fear
93886.png,surprise
40119.png,disgust
99088.png,fear
25162.png,disregard
59231.png,happy
3576.png,surprise
67237.png,disregard
29503.png,sorrow
98900.png,sorrow
35516.png,angry
55128.png,disgust
22076.png,disgust
51841.png,disregard
50269.png,fear
38187.png,surprise
35828.png,happy
85145.png,disgust
45138.png,angry
66257.png,angry
88823.png,happy
29306.png,happy
45262.png,happy
29463.png,surprise
43420.png,neutral
70371.png,disregard
10786.png,neutral
69410.png,disregard
97715.png,neutral
16510.png,angry
43068.png,happy
54114.png,disregard
65550.png,surprise
22788.png,neutral
15428.png,happy
34129.png,disgust
40377.png,surprise
45311.png,angry
49.png,fear
9767.png,surprise
93767.png,surprise
74834.png,happy
85014.png,disgust
97801.png,disgust
79237.png,fear
83782.png,happy
68230.png,disgust
8393.png,happy
75459.png,happy
83578.png,happy
84508.png,fear
37499.png,neutral
87740.png,surprise
19848.png,sorrow
79635.png,disgust
47767.png,angry
13572.png,surprise
60681.png,angry
24988.png,disgust
80233.png,sorrow
70785.png,sorrow
24092.png,disgust
80269.png,happy
40316.png,disgust
55936.png,disgust
24140.png,disregard
89741.png,sorrow
97985.png,neutral
67765.png,happy
816.png,neutral
